objectname,objectid,rating,baverage,average,avgweight,rank,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,imageid,year,language,other,itemtype
Battleground Fantasy Warfare: Dwarves of Runegard,49394,0,5.57841,7.62093,2,6683,Battleground Fantasy Warfare: Dwarves of Runegard,2,2,60,60,60,2006,,,,,,,,,standalone
Battleground Fantasy Warfare: Monsters & Mercenaries,49050,0,5.5655,7.34762,2.6667,7317,Battleground Fantasy Warfare: Monsters & Mercenaries,2,2,60,60,60,2008,2,2,,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Battlestar Galactica: The Board Game,37111,0,7.61943,7.75994,3.2296,57,Battlestar Galactica: The Board Game,3,6,300,300,120,2008,"4,5,6",5,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Bausack,1231,0,6.54419,6.87583,1.3042,804,Bausack,2,8,45,45,15,1987,"2,3,4,5,6,7",4,6+,No necessary in-game text,,,,,standalone
Betrayal at Baldur's Gate,228660,0,6.05359,7.31199,2.4545,1868,Betrayal at Baldur's Gate,3,6,60,60,60,2017,"4,5,6","5,6",12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Betrayal at House on the Hill,10547,0,6.93022,7.11742,2.365,408,Betrayal at House on the Hill,3,6,60,60,60,2004,"3,4,5,6","5,6",12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Betrayal at House on the Hill: Widow's Walk,198452,0,6.69008,7.62693,2.4167,0,Betrayal at House on the Hill: Widow's Walk,3,6,60,0,60,2016,"3,4,5,6","4,5,6",12+,Extensive use of text - massive conversion needed to be playable,,,,,expansion
Between Two Cities,168435,0,6.8511,7.10116,1.8086,479,Between Two Cities,1,7,20,20,20,2015,"3,4,5,6,7","5,6",8+,No necessary in-game text,,,,,standalone
BIOTIX,218028,0,5.56969,6.45813,1,7110,BIOTIX,2,5,40,40,30,2017,"3,4,5",,8+,,,,,,standalone
Blokus,2453,0,6.81745,6.92684,1.788,512,Blokus,2,4,20,20,20,2000,"2,4",4,6+,No necessary in-game text,,,,,standalone
Blood Bowl: Team Manager ?€? The Card Game,90137,0,7.15096,7.38375,2.331,235,Blood Bowl: Team Manager ?€? The Card Game,2,4,90,90,90,2011,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Blue Marble,10506,0,5.45204,4.71129,1.375,14109,Blue Marble,2,4,90,90,90,1982,"2,3,4",,6?€?16,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Bob Ross: Art of Chill Game,231696,0,5.89997,7.28768,1.8,2504,Bob Ross: Art of Chill Game,2,4,30,30,30,2017,"2,3,4",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
La Boca,136280,0,6.41789,7.02749,1.4304,999,La Boca,3,6,40,40,40,2013,"3,4,5,6",4,6+,No necessary in-game text,,,,,standalone
Bohnanza,11,0,6.96917,7.05949,1.6773,365,Bohnanza,2,7,45,45,45,1997,"3,4,5,6,7",5,8+,No necessary in-game text,,,,,standalone
Boss Monster 2: The Next Level,174973,0,6.25506,6.85069,1.7547,1336,Boss Monster 2: The Next Level,2,4,30,30,20,2015,"2,3,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Boss Monster: The Dungeon Building Card Game,131835,0,6.16749,6.33903,1.8043,1542,Boss Monster: The Dungeon Building Card Game,2,4,20,20,20,2013,"2,3,4",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Bounce-Off,166633,0,5.56998,5.84048,1.4545,7088,Bounce-Off,2,4,15,0,15,2013,"2,4",2,8+,No necessary in-game text,,,,,standalone
Broom Service,172308,0,6.93266,7.26466,2.4034,406,Broom Service,2,5,75,75,30,2015,"2,3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Bruxelles 1893,144592,0,7.12666,7.65363,3.5847,247,Bruxelles 1893,2,5,125,125,50,2013,"2,3,4,5",4,14+,No necessary in-game text,,,,,standalone
Ca$h 'n Gun$,19237,0,6.50692,6.64151,1.2773,861,Ca$h 'n Gun$,4,6,30,30,30,2005,"4,5,6",6,10+,No necessary in-game text,,,,,standalone
Camel Up,153938,0,6.95748,7.09833,1.4868,378,Camel Up,2,8,30,30,20,2014,"3,4,5,6,7,8","4,5",8+,No necessary in-game text,,,,,standalone
Camel Up: Supercup,172380,0,6.53493,7.41127,1.6667,0,Camel Up: Supercup,2,10,45,45,30,2015,"3,4,5,6,7,8","5,6",8+,No necessary in-game text,,,,,expansion
Cannon Buster,218610,0,0,6.76,1.8571,0,Cannon Buster,2,4,30,30,30,2017,"3,4","3,4",8+,No necessary in-game text,,,,,standalone
Captain Sonar,171131,0,7.43914,7.75164,2.072,94,Captain Sonar,2,8,60,60,45,2016,"4,6,7,8",8,12+,No necessary in-game text,,,,,standalone
Carcassonne,822,0,7.33025,7.43305,1.9335,137,Carcassonne,2,5,45,45,30,2000,"2,3,4,5",2,8+,No necessary in-game text,,,,,standalone
Carcassonne Big Box,142057,0,6.25955,7.59597,2.3103,0,Carcassonne Big Box,2,5,45,45,45,2006,"2,3,4,5","2,3",8,,,,,,standalone
Carcassonne: South Seas,147303,0,6.60627,7.15958,1.8403,729,Carcassonne: South Seas,2,5,35,35,35,2013,"2,3,4","2,3",8+,No necessary in-game text,,,,,standalone
The Castles of Burgundy,84876,0,7.99867,8.11486,3.0278,11,The Castles of Burgundy,2,4,90,90,30,2011,"2,3,4",2,12+,No necessary in-game text,,,,,standalone
Catan,13,0,7.08984,7.23625,2.3537,272,Catan,3,4,120,120,60,1995,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Catan: Junior,125921,0,6.20849,6.72946,1.5281,1431,Catan: Junior,2,4,30,30,30,2012,"2,3,4",4,5+,No necessary in-game text,,,,,standalone
Cave Troll,4491,0,6.16409,6.41225,1.9511,1552,Cave Troll,2,4,45,45,45,2002,"2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Caverna: The Cave Farmers,102794,0,7.97116,8.14066,3.7872,13,Caverna: The Cave Farmers,1,7,210,210,30,2013,"1,2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Celestia,175117,0,6.75372,7.10162,1.3937,577,Celestia,2,6,30,30,30,2015,"3,4,5,6","5,6",6+,No necessary in-game text,,,,,standalone
Century: Golem Edition,232832,0,6.34586,7.84881,1.5333,1124,Century: Golem Edition,2,5,45,45,30,2017,"2,3,4,5",3,8+,No necessary in-game text,,,,,standalone
Century: Spice Road,209685,0,7.1485,7.47685,1.7661,236,Century: Spice Road,2,5,45,45,30,2017,"2,3,4,5","3,4",8+,No necessary in-game text,,,,,standalone
Chess,171,0,6.9241,7.08948,3.7512,412,Chess,2,2,60,60,60,1475,2,2,6+,No necessary in-game text,,,,,standalone
Chez Cthulhu,56342,0,5.58823,5.94956,1.5238,6287,Chez Cthulhu,2,5,60,60,45,2010,"2,3,4,5","3,4,5",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Chicken Cha Cha Cha,3570,0,6.25295,6.62473,1.1111,1346,Chicken Cha Cha Cha,2,4,20,20,20,1997,"2,3,4",4,3?€?10,No necessary in-game text,,,,,standalone
Chicken Drop,196533,0,0,3,0,0,Chicken Drop,2,4,15,15,10,0,,,,,,,,,standalone
Chinatown,47,0,6.97688,7.2392,2.2957,359,Chinatown,3,5,60,60,60,1999,"4,5",5,10+,No necessary in-game text,,,,,standalone
Chos??n,161943,0,5.79046,6.75169,2.125,3166,Chos??n,2,4,15,15,15,2014,"2,3,4","3,4",,No necessary in-game text,,,,,standalone
"Ciao, Ciao...",1163,0,5.6276,5.9797,1.0833,5195,"Ciao, Ciao...",2,4,30,30,30,1997,"3,4",4,6+,No necessary in-game text,,,,,standalone
Citadels,478,0,7.0355,7.12766,2.0604,313,Citadels,2,8,60,60,20,2000,"2,3,4,5,6,7",5,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Cities of Splendor,220653,0,6.2165,7.56094,2.4,0,Cities of Splendor,2,4,30,30,30,2017,"2,3,4",3,3+,,,,,,expansion
City of Remnants,133528,0,6.16482,6.87836,3.0923,1550,City of Remnants,2,4,90,90,90,2013,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Clank! In! Space!,233371,0,6.89507,8.07394,2.75,441,Clank! In! Space!,2,4,60,60,60,2017,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Clank!: A Deck-Building Adventure,201808,0,7.63772,7.94741,2.2353,54,Clank!: A Deck-Building Adventure,1,4,60,60,30,2016,"2,3,4",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
The Climbers,34297,0,6.28887,6.90307,1.8795,1254,The Climbers,2,5,45,45,45,2008,"2,3,4,5",4,8+,No necessary in-game text,,,,,standalone
Clue,1294,0,5.55975,5.64966,1.6745,7622,Clue,3,6,45,45,45,1949,"3,4,5,6","4,5",8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
CLUE: The Big Bang Theory,145578,0,5.51916,5.80431,1.75,10627,CLUE: The Big Bang Theory,2,6,45,45,45,2013,"3,4,5,6","5,6",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Cockroach Poker,11971,0,6.28937,6.50404,1.1289,1249,Cockroach Poker,2,6,20,20,20,2004,"3,4,5,6","4,5",6+,No necessary in-game text,,,,,standalone
Coconuts,145639,0,6.59686,7.09295,1.0508,737,Coconuts,2,4,20,20,20,2013,"2,3,4",4,5+,No necessary in-game text,,,,,standalone
Coda,8946,0,5.83853,6.08719,1.4913,2833,Coda,2,4,15,15,15,2002,"2,3,4",4,8+,No necessary in-game text,,,,,standalone
Codenames,178900,0,7.72844,7.82568,1.3474,37,Codenames,2,8,15,15,15,2015,"4,5,6,7,8","6,8",10+,Unplayable in another language,,,,,standalone
Codenames Duet,224037,0,7.23339,7.95132,1.4688,179,Codenames Duet,2,4,30,30,15,2017,"2,4",2,12+,Unplayable in another language,,,,,standalone
Colosseum,27746,0,6.99308,7.22631,2.7543,345,Colosseum,3,5,90,90,60,2007,"3,4,5",5,10+,No necessary in-game text,,,,,standalone
Colt Express,158899,0,7.06101,7.20486,1.8076,294,Colt Express,2,6,40,40,30,2014,"3,4,5,6","5,6",8+,No necessary in-game text,,,,,standalone
Commands & Colors: Ancients,14105,0,7.46861,7.78683,2.6954,89,Commands & Colors: Ancients,2,2,60,60,60,2006,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Conan,160010,0,7.00008,7.94627,2.8,341,Conan,2,5,90,90,90,2016,"2,3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Concept,147151,0,6.77879,6.94172,1.4359,548,Concept,4,12,40,40,40,2013,"2,3,4,5,6,7,8,9,10,11,12","6,8",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Cosmic Encounter,39463,0,7.43697,7.58723,2.5535,96,Cosmic Encounter,3,5,120,120,60,2008,"4,5",5,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Cottage Garden,204027,0,6.68826,7.08104,1.8413,628,Cottage Garden,1,4,60,60,45,2016,"1,2,3,4",3,8+,No necessary in-game text,,,,,standalone
Coup,131357,0,6.97436,7.08847,1.4342,361,Coup,2,6,15,15,15,2012,"3,4,5,6",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Coup: Rebellion G54,148943,0,6.49463,7.14282,1.931,881,Coup: Rebellion G54,3,6,15,15,15,2014,"3,4,5,6","5,6",12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Coup: Reformation,148931,0,6.87273,7.34665,1.5636,0,Coup: Reformation,2,10,15,15,15,2013,"4,5,6,7,8,9,10",,12+,Some necessary text - easily memorized or small crib sheet,,,,,expansion
Coven,121295,0,5.52609,5.86786,3.3333,10023,Coven,3,5,60,60,60,2015,"3,4,5","4,5",,,,,,,standalone
Coven: The Village,185173,0,0,6.51579,2,0,Coven: The Village,3,5,60,60,30,2015,,,,,,,,,expansion
Crossing,172971,0,5.89462,6.62684,1.0909,2523,Crossing,3,6,15,0,15,2013,"4,5,6",5,6+,No necessary in-game text,,,,,standalone
Custom Heroes,223049,0,5.97778,6.93577,1.375,2124,Custom Heroes,2,6,45,45,45,2017,"3,4,5,6",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Cutthroat Caverns,28259,0,6.35576,6.59819,2.0683,1102,Cutthroat Caverns,3,6,90,90,90,2007,"3,4,5,6","5,6",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Cutthroat Kingdoms,215213,0,5.59407,7.50561,2.75,6092,Cutthroat Kingdoms,3,6,150,150,90,2017,"4,5,6",4,,,,,,,standalone
Dark Horse,98443,0,5.74905,6.7846,2.6667,3472,Dark Horse,1,4,90,90,90,2012,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Dead Last,184522,0,6.03256,6.59451,1.1111,1937,Dead Last,6,12,90,90,10,2016,"6,7,8,9,10,11,12","8,9,10",10+,No necessary in-game text,,,,,standalone
Dead of Winter: A Crossroads Game,150376,0,7.63511,7.7788,3.0018,55,Dead of Winter: A Crossroads Game,2,5,210,210,45,2014,"3,4,5",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Dead of Winter: The Long Night,193037,0,7.32476,7.93961,3.4516,139,Dead of Winter: The Long Night,2,5,120,120,60,2016,"3,4,5",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Dead of Winter: Warring Colonies,206094,0,5.62438,7.53763,3,0,Dead of Winter: Warring Colonies,4,11,120,120,45,2017,"6,7","6,7",,,,,,,expansion
Dead Panic,133437,0,5.74214,6.08346,2.2683,3541,Dead Panic,2,6,90,90,90,2013,"2,3,4,5",,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Deadline,145601,0,5.72043,6.87155,2.3333,3749,Deadline,2,4,60,60,60,2017,"1,2,3,4",,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Deception: Murder in Hong Kong,156129,0,7.25708,7.55157,1.6209,165,Deception: Murder in Hong Kong,4,12,20,20,20,2014,"5,6,7,8,9,10,11,12","7,8",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Deep Sea Adventure,169654,0,6.78413,7.15015,1.218,540,Deep Sea Adventure,2,6,30,30,30,2014,"3,4,5,6",4,8+,No necessary in-game text,,,,,standalone
Defenders of the Realm,65532,0,6.98614,7.36359,2.7152,350,Defenders of the Realm,1,4,90,90,90,2010,"1,2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Descent: Journeys in the Dark (Second Edition),104162,0,7.54244,7.77094,3.2077,70,Descent: Journeys in the Dark (Second Edition),2,5,120,120,120,2012,"2,3,4,5",5,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Dino Hunt Dice,125368,0,5.58104,5.85167,1.0357,6575,Dino Hunt Dice,2,8,10,10,10,2012,"2,3,4,5","3,4",5+,No necessary in-game text,,,,,standalone
Dixit,39856,0,7.23609,7.33389,1.2531,177,Dixit,3,6,30,30,30,2008,"4,5,6","5,6",8+,No necessary in-game text,,,,,standalone
Dixit Jinx,119407,0,5.64057,5.79758,1.2143,4914,Dixit Jinx,3,6,15,15,15,2012,"3,4,5,6",5,8+,No necessary in-game text,,,,,standalone
Doggie Doo,84730,0,5.39622,4.70265,1,14627,Doggie Doo,2,4,20,20,20,2010,"2,3,4",4,3?€?12,No necessary in-game text,,,,,standalone
Dogs of War,158435,0,6.68615,7.56462,2.6719,630,Dogs of War,3,5,75,75,75,2014,"4,5",5,14+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
the DOME,174403,0,0,6.63333,3,0,the DOME,2,4,60,60,30,2015,"2,3,4","3,4",10?€?12,,,,,,standalone
Dominion,36218,0,7.58142,7.67683,2.3716,62,Dominion,2,4,30,30,30,2008,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Dominion: Seaside,51811,0,7.82762,8.06543,2.4967,0,Dominion: Seaside,2,4,30,30,30,2009,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,expansion
Doomtown: Reloaded,156714,0,6.55488,7.2986,3.5043,789,Doomtown: Reloaded,2,4,30,30,30,2014,"2,3,4",2,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Double Shutter,34943,0,5.53412,5.88156,1,9373,Double Shutter,1,4,15,15,15,2007,"2,3,4","2,3",5+,,,,,,standalone
Dragon Slayer,158243,0,5.57698,5.66659,1.0814,6738,Dragon Slayer,2,5,15,15,15,2014,"2,3,4,5",3,6+,No necessary in-game text,,,,,standalone
Dragonfire,226501,0,6.13754,7.78317,3.2308,1615,Dragonfire,2,6,90,90,60,2017,"3,4,5",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
The Dresden Files Cooperative Card Game,187273,0,6.1849,7.22774,2.1739,1498,The Dresden Files Cooperative Card Game,1,5,30,30,30,2017,"1,2,3,4,5","3,4",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
The Duke,36235,0,6.96028,7.51971,2.5455,374,The Duke,2,2,30,30,30,2013,2,2,12+,No necessary in-game text,,,,,standalone
Dungeon Fighter,102548,0,6.5818,6.87736,1.7489,756,Dungeon Fighter,1,6,45,45,45,2011,"2,3,4,5,6","3,4",8+,No necessary in-game text,,,,,standalone
Dungeon Fighter: Fire at Will,144386,0,5.914,7.36643,2,0,Dungeon Fighter: Fire at Will,1,6,60,60,45,2013,"1,2,3,4,5,6",3,,Moderate in-game text - needs crib sheet or paste ups,,,,,expansion
Dungeon Fighter: Rock and Roll,176636,0,5.78388,7.56333,1.7778,0,Dungeon Fighter: Rock and Roll,1,6,60,60,45,2015,,,,,,,,,expansion
Dungeon Fighter: Stormy Winds,163169,0,5.83437,7.5665,1.8889,0,Dungeon Fighter: Stormy Winds,1,6,60,60,45,2014,,,,,,,,,expansion
Dungeon Fighter: The Big Wave,149744,0,5.86099,7.5019,2.0714,0,Dungeon Fighter: The Big Wave,1,6,60,60,45,2014,"1,2,3,4,5",3,,Some necessary text - easily memorized or small crib sheet,,,,,expansion
Dungeon Raiders,80771,0,6.12769,6.69189,1.3902,1645,Dungeon Raiders,3,5,60,60,20,2011,"3,4,5",5,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Dungeon Twister,12995,0,6.58703,6.84657,2.8808,747,Dungeon Twister,2,2,60,60,60,2004,2,2,12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Dungeons & Dragons: Temple of Elemental Evil Board Game,172220,0,6.45031,7.47174,2.4915,950,Dungeons & Dragons: Temple of Elemental Evil Board Game,1,5,60,60,60,2015,"1,2,3,4,5",3,8+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Dungeons & Dragons: The Legend of Drizzt Board Game,91872,0,6.88069,7.3109,2.624,455,Dungeons & Dragons: The Legend of Drizzt Board Game,1,5,60,60,60,2011,"1,2,3,4,5","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Dungeons & Dragons: Tomb of Annihilation Board Game,228668,0,5.73148,8.20113,2.6667,3649,Dungeons & Dragons: Tomb of Annihilation Board Game,1,5,60,60,60,2017,"1,2,3,4",2,10+,Unplayable in another language,,,,,standalone
Eldritch Horror,146021,0,7.69033,7.91953,3.3107,44,Eldritch Horror,1,8,240,240,120,2013,"1,2,3,4,5,6",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Eminent Domain,68425,0,6.92107,7.12002,2.503,417,Eminent Domain,2,4,45,45,45,2011,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Eminent Domain: Battlecruisers,163641,0,5.80785,6.53635,2,3024,Eminent Domain: Battlecruisers,3,5,30,30,20,2016,"3,4,5",5,10+,,,,,,standalone
Eminent Domain: Exotica,163639,0,5.82889,7.69558,2.4,0,Eminent Domain: Exotica,2,5,45,45,45,2016,"3,4",,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,expansion
